snapshot_date,tool,repo,pypi_package,github_stars,github_forks,github_open_issues,pypi_last_month_downloads,stackoverflow_question_count
2026-08-06,LangChain,langchain-ai/langchain,langchain,143547,23916,459,297163018,2174
2026-08-06,CrewAI,crewAIInc/crewAI,crewai,56690,8084,764,14264172,58
2026-08-06,LlamaIndex,run-llama/llama_index,llama-index-core,51419,7881,610,16105905,345
2026-08-06,AutoGen,microsoft/autogen,pyautogen,60265,9083,977,587831,0
2026-08-06,SemanticKernel,microsoft/semantic-kernel,semantic-kernel,28425,4707,257,2591843,71
2026-08-06,Haystack,deepset-ai/haystack,haystack-ai,26128,2979,86,972261,79
2026-08-06,DSPy,stanfordnlp/dspy,dspy,36651,3174,640,6388983,17
2026-08-06,LiteLLM,BerriAI/litellm,litellm,55702,10368,4777,692532253,12
2026-08-06,Instructor,jxnl/instructor,instructor,13695,1177,44,19733926,0
2026-08-06,Phidata,agno-agi/agno,agno,41601,5741,1135,0,4
2026-08-06,Mem0,mem0ai/mem0,mem0ai,62665,7312,689,3969345,0
2026-08-06,vLLM,vllm-project/vllm,vllm,88336,20347,6327,5517384,45
2026-08-06,Ollama,ollama/ollama,N/A,177908,17281,3618,0,332
2026-08-06,TGI,huggingface/text-generation-inference,N/A,10888,1274,324,0,0
2026-08-06,LlamaCpp,ggerganov/llama.cpp,llama-cpp-python,122872,21376,1984,688307,0
2026-08-06,LMStudio,lmstudio-ai/lmstudio-python,lmstudio,857,158,36,94414,23
2026-08-06,Chroma,chroma-core/chroma,chromadb,28964,2424,773,13108113,299
2026-08-06,Pinecone,pinecone-io/pinecone-python-client,pinecone-client,447,132,62,1181418,129
2026-08-06,Milvus,milvus-io/milvus,pymilvus,45533,4166,1219,5743388,251
2026-08-06,Qdrant,qdrant/qdrant,qdrant-client,33810,2558,660,20688227,70
2026-08-06,Weaviate,weaviate/weaviate,weaviate-client,16701,1358,623,194675278,164
2026-08-06,Flowise,FlowiseAI/Flowise,N/A,55205,24858,1047,0,28
2026-08-06,Langflow,langflow-ai/langflow,langflow,152886,9813,998,84905,9
2026-08-06,OpenWebUI,open-webui/open-webui,open-webui,148022,21542,487,1014929,0
